0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	25	11	7	2	0	0	0	0	0	0	0	0	0	0	
0	7	47	86	52	12	2	1	0	0	0	0	0	0	0	0	
0	0	32	165	155	69	10	2	0	0	0	1	0	0	0	0	
0	0	4	41	223	208	72	18	3	2	1	2	1	0	0	0	
0	0	0	7	43	242	199	73	14	4	3	3	1	2	1	0	
0	0	0	0	13	42	184	134	59	20	7	3	1	1	0	0	
0	0	0	0	0	7	47	145	135	43	20	8	3	6	2	0	
0	0	0	0	0	16	14	13	101	95	42	17	4	2	2	0	
0	0	0	0	0	0	0	14	28	80	75	36	17	8	3	0	
0	0	0	0	0	0	3	2	4	21	49	55	29	9	2	1	
0	0	0	0	0	0	0	2	0	6	20	57	32	20	2	0	
0	0	0	0	0	0	0	0	0	1	1	16	25	18	10	1	
0	0	0	0	0	0	0	0	0	0	0	0	8	26	20	1	
0	0	0	0	0	0	0	0	0	0	1	0	0	6	17	7	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	
