     0		       333	       298	       189	       118	        73	        24	         4	        59	       176	       307	       297	       191	       110	        41	      3805	      2566	      1432	      1027	       834	       686	       526	       222	       979	      1808	      1850	      1568	      1425	       987
     1		       339	       261	       168	        80	        49	        30	        16	        38	       212	       318	       299	       177	       102	        46	      3540	      2188	      1290	      1019	       708	       635	       582	       308	      1232	      1802	      1835	      1711	      1371	      1081
     2		       385	       269	       150	       119	        75	        53	        31	        63	       234	       332	       312	       203	       147	        59	      3865	      2459	      1251	      1015	       783	       609	       576	       206	      1135	      1720	      1952	      1736	      1388	      1050
     3		       363	       286	       180	       126	        56	        43	        25	        48	       220	       332	       330	       199	       117	        70	      3685	      2452	      1373	       991	       848	       601	       567	       155	      1065	      1655	      1936	      1715	      1279	      1113
     4		       284	       309	       187	       127	        66	        35	        25	        32	       182	       282	       292	       239	       109	        67	      3877	      2635	      1366	      1129	       866	       644	       605	       145	      1044	      1591	      1861	      1676	      1444	      1058
     5		       344	       318	       147	       107	        56	        22	        13	        46	       200	       337	       294	       182	        96	        23	      3727	      2418	      1182	       980	       806	       621	       587	       180	      1001	      1785	      1882	      1607	      1455	      1112
     6		       335	       250	       158	       110	        57	        25	         8	        57	       206	       363	       289	       192	       121	        30	      3587	      2325	      1272	      1005	       728	       632	       586	       248	      1222	      1817	      1845	      1718	      1477	      1082
     7		       210	       286	       165	       122	        60	        40	         7	        38	       220	       324	       289	       194	       122	        41	      3651	      2559	      1334	      1016	       744	       619	       503	       187	      1059	      1691	      1909	      1685	      1362	      1095
     8		       372	       329	       183	        87	        41	        63	        28	        34	       207	       336	       283	       211	       171	        57	      3888	      2575	      1248	       886	       668	       518	       524	       224	      1048	      1779	      1873	      1677	      1415	      1097
     9		       331	       319	       184	        86	        80	        76	        33	        49	       202	       353	       324	       215	       216	        60	      3854	      2644	      1455	      1001	       798	       635	       622	       130	       852	      1718	      1981	      1668	      1387	      1174
    10		       414	       231	       180	        96	        48	        24	         7	        68	       236	       325	       310	       177	        97	        31	      3735	      2255	      1341	       960	       756	       585	       555	       263	      1265	      1799	      1873	      1580	      1432	      1170
    11		       326	       300	       158	        92	        41	        31	        16	        47	       202	       348	       295	       212	       104	        25	      3784	      2508	      1258	       962	       823	       670	       634	       182	       886	      1803	      1864	      1743	      1422	      1041
    12		       332	       267	       145	        94	        61	        29	        13	        47	       219	       334	       278	       191	       100	        32	      3699	      2274	      1202	      1002	       842	       647	       565	       258	      1147	      1819	      1861	      1693	      1517	      1048
    13		       261	       291	       159	        97	        45	        26	         8	        55	       210	       340	       271	       190	        84	        25	      3772	      2525	      1334	       961	       739	       634	       560	       182	      1095	      1813	      1841	      1791	      1463	      1058
    14		       302	       288	       185	       107	        48	       104	        14	        39	       224	       296	       291	       219	       249	        53	      3811	      2519	      1379	       990	       661	       651	       472	       177	      1064	      1705	      1914	      1636	      1358	      1010
    15		       327	       310	       176	       108	        53	        64	        26	        45	       206	       312	       317	       213	       179	        52	      3738	      2512	      1247	       958	       783	       718	       609	       162	      1038	      1665	      1911	      1652	      1485	      1045
    16		       265	       294	       161	       106	        62	        28	         9	        47	       203	       298	       284	       202	       121	        29	      3637	      2545	      1265	       976	       745	       623	       577	       196	      1059	      1652	      1818	      1793	      1455	      1069
    17		       252	       323	       197	        87	        62	        34	         7	        33	       222	       348	       293	       203	       106	        26	      3818	      2736	      1373	       905	       839	       682	       554	       149	       995	      1721	      1896	      1742	      1411	      1008
    18		       312	       313	       214	       108	        57	        18	         4	        39	       215	       363	       348	       202	       101	        18	      3702	      2509	      1461	      1070	       792	       567	       485	       214	      1118	      1760	      2060	      1630	      1405	      1030
