     0		       157	       193	       109	         5	       362	       243	       146	        61	       576	       130	        38	       111	        12	        36	        13	         1	        51	        39	        41	        14	        61	        23	        27	        49	        21	         4	        76	         4	        62	         5	       109	        55	        78	         7	        71	       150
     1		       152	       189	       107	         1	       386	       273	       159	        68	       609	       130	        43	       151	        26	        34	        12	         0	        28	        44	        22	         9	        45	         7	        26	        44	        33	         1	        63	         2	        58	         4	       111	        34	        96	         5	        81	       146
     2		       164	       183	       109	         4	       379	       258	       155	        41	       558	       123	        55	       135	        24	        43	        16	         0	        49	        41	        38	        13	        42	        20	        18	        43	        27	         3	        63	         0	        64	        14	       142	        36	        76	         4	        76	       154
     3		       123	       203	       106	         4	       361	       275	       139	        49	       575	       136	        54	       160	        15	        40	        11	         1	        40	        36	        45	        16	        40	        20	        15	        41	        38	         4	        64	         0	        51	         4	       133	        33	        85	         6	        64	       180
     4		       159	       193	       129	         4	       412	       248	       175	        59	       586	       130	        40	       148	        23	        30	        11	         0	        44	        45	        33	        12	        51	        16	        20	        40	        18	         6	        76	         0	        56	        10	       145	        32	        88	         8	        60	       158
     5		       169	       180	       105	         1	       386	       234	       134	        50	       576	       156	        52	       122	        20	        36	        14	         1	        50	        51	        37	        10	        44	        14	        17	        64	        26	         7	        66	         3	        66	        11	       145	        29	        88	         6	        60	       150
     6		       159	       190	       103	         2	       398	       248	       174	        56	       579	       141	        48	       145	        15	        39	        11	         1	        34	        46	        45	        14	        49	        22	        15	        56	        30	         1	        64	         2	        53	         7	       136	        43	        91	         6	        55	       140
     7		       170	       199	       107	         3	       361	       240	       157	        65	       547	       134	        44	       144	        24	        35	        17	         0	        49	        36	        49	        12	        48	        22	        25	        54	        24	         3	        64	         2	        63	         7	       138	        43	        78	         8	        52	       151
     8		       171	       186	        84	         4	       367	       228	       167	        62	       565	       130	        60	       137	        15	        37	         9	         1	        35	        36	        32	         9	        48	        24	        15	        45	        26	         3	        84	         1	        60	         9	       144	        40	        97	         5	        72	       173
     9		       164	       176	       108	         0	       380	       243	       170	        59	       604	       140	        54	       166	        15	        41	        15	         1	        45	        45	        38	        20	        46	        21	        23	        41	        28	         2	        73	         0	        56	         8	       114	        40	        92	         6	        60	       160
