0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	12	38	21	5	0	0	0	0	0	0	0	0	0	0	0	
0	6	104	148	55	11	3	0	0	0	0	0	0	0	0	0	
0	0	37	228	172	68	15	5	0	0	0	0	0	0	0	0	
0	0	0	44	242	215	72	12	1	0	0	0	2	0	0	0	
0	0	0	1	54	247	180	68	18	3	1	1	0	0	0	0	
0	0	0	0	0	51	204	186	76	15	5	0	0	1	0	0	
0	0	0	0	0	6	61	194	164	46	14	2	2	0	1	0	
0	0	0	0	0	1	5	54	163	146	57	13	5	1	0	1	
0	0	0	0	0	0	0	7	50	107	91	36	12	4	0	0	
0	0	0	0	0	0	0	1	4	34	66	70	22	5	0	1	
0	0	0	0	0	0	0	1	5	2	16	40	35	16	2	0	
0	0	0	0	0	0	0	0	0	0	9	20	46	16	6	1	
0	0	0	0	0	0	0	0	0	3	1	1	16	20	11	2	
0	0	0	0	0	0	0	0	0	1	0	0	3	4	2	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
