     0		       168	       145	       391	       389	      1743	        38	        30	        67	        85	       229	        18	        18	        51	        45	       248
     1		       157	       126	       402	       409	      1706	        24	        18	        76	        75	       174	        30	        22	        62	        42	       237
     2		       193	       177	       463	       471	      1778	        72	        63	       129	        92	       193	        33	        20	        70	        53	       259
     3		       205	       162	       516	       439	      1777	        71	        54	       125	        76	       202	        19	        17	        56	        55	       251
     4		       149	       160	       446	       422	      1779	        61	        35	       108	        73	       236	        11	        22	        50	        42	       235
     5		       157	       144	       448	       360	      1712	        26	        18	        90	        68	       225	        30	        20	        68	        53	       247
     6		       155	       174	       402	       387	      1709	        43	        41	        88	        71	       226	        21	        30	        52	        44	       253
     7		       182	       154	       454	       434	      1604	        39	        32	        91	        56	       219	        21	        22	        54	        62	       249
     8		       190	       183	       500	       416	      1720	        48	        29	        94	        49	       209	        18	        28	        81	        60	       274
     9		       283	       244	       545	       460	      1673	        59	        41	       111	        78	       203	        30	        37	        56	        63	       260
    10		       160	       124	       398	       425	      1739	        35	        41	        93	        78	       227	        14	        12	        66	        45	       239
    11		       175	       166	       383	       434	      1636	        40	        31	        78	        56	       191	        16	        16	        51	        51	       263
    12		       167	       153	       415	       360	      1698	        43	        30	        88	        65	       238	        29	        15	        58	        40	       256
    13		       164	       128	       388	       404	      1620	        41	        43	        87	        60	       184	        19	        26	        58	        60	       253
    14		       236	       226	       503	       459	      1798	        40	        27	        77	        59	       217	        18	        22	        59	        54	       228
    15		       213	       169	       474	       430	      1791	        61	        49	        92	        70	       193	        21	        20	        74	        49	       242
    16		       156	       166	       436	       420	      1577	        30	        27	        68	        49	       216	        18	        34	        58	        54	       247
    17		       149	       164	       426	       415	      1686	        71	        44	        86	        56	       222	        20	        21	        75	        45	       227
    18		       175	       162	       432	       449	      1765	        64	        59	       118	        82	       206	        34	        17	        54	        48	       262
    19		       172	       148	       388	       339	      1706	        35	        33	        77	        46	       221	        20	        22	        61	        49	       219
    20		       156	       128	       359	       381	      1581	        35	        38	        74	        51	       229	        21	        26	        50	        40	       248
    21		       249	       205	       529	       514	      1629	        55	        42	       121	        74	       191	        33	        24	        58	        58	       268
    22		       168	       137	       389	       412	      1628	        52	        37	        92	        62	       213	        22	        17	        54	        53	       238
    23		       160	       146	       410	       369	      1721	        67	        52	       151	        97	       214	        10	        10	        51	        28	       241
    24		       179	       131	       395	       395	      1812	        40	        40	        87	        70	       202	        19	        29	        54	        38	       263
    25		       185	       140	       436	       453	      1690	        33	        28	        79	        50	       200	        11	        21	        57	        59	       241
    26		       143	       129	       387	       412	      1618	        51	        44	       118	        84	       224	        15	        15	        57	        43	       211
    27		       219	       181	       496	       424	      1843	        77	        64	       133	        93	       211	        12	        10	        53	        53	       212
    28		       173	       182	       460	       442	      1593	        73	        62	       130	        71	       199	        31	        26	        41	        55	       242
    29		       157	       160	       404	       392	      1693	        48	        54	       114	        67	       246	        12	        16	        31	        56	       230
    30		       227	       182	       445	       425	      1842	        45	        32	       131	        71	       227	        24	        19	        52	        52	       255
    31		       180	       130	       446	       385	      1634	        98	        69	       157	       102	       216	        37	        28	        71	        62	       285
    32		       195	       195	       523	       484	      1754	        34	        26	        57	        57	       240	        19	        29	        53	        43	       238
    33		       182	       176	       492	       474	      1733	        46	        39	        80	        68	       253	        14	        21	        53	        55	       268
    34		       139	       123	       354	       381	      1752	        21	        23	        73	        87	       187	        17	        19	        46	        52	       260
    35		       143	       130	       382	       385	      1549	        36	        47	       112	        78	       222	        19	        28	        58	        46	       262
    36		       146	       130	       379	       377	      1685	        61	        42	       110	        75	       256	        16	        25	        52	        65	       248
    37		       166	       178	       505	       422	      1590	        41	        32	        94	        71	       208	        16	        11	        44	        54	       247
    38		       226	       160	       500	       446	      1717	        56	        39	        93	        68	       220	        17	        21	        57	        47	       236
    39		       160	       117	       403	       385	      1650	        75	        59	       138	        90	       238	        26	        16	        54	        48	       275
    40		       188	       152	       444	       412	      1733	        51	        45	        88	        71	       233	        18	        18	        60	        68	       246
    41		       275	       219	       542	       452	      1835	       113	        86	       166	        95	       211	        15	        20	        59	        58	       240
    42		       258	       205	       512	       449	      1952	        40	        35	        90	        68	       213	        32	        35	        62	        52	       280
    43		       164	       140	       416	       412	      1757	        35	        24	        66	        52	       212	        37	        26	        75	        61	       273
    44		       152	       137	       359	       395	      1634	        42	        40	        83	        71	       237	        24	        18	        52	        43	       269
    45		       161	       139	       405	       386	      1721	        61	        41	       107	        69	       240	        18	        19	        53	        50	       229
    46		       139	       128	       377	       412	      1601	        71	        50	        91	        93	       222	        22	        22	        62	        44	       264
    47		       188	       151	       467	       406	      1611	        37	        20	        70	        68	       194	        37	        23	        70	        50	       246
    48		       190	       160	       405	       375	      1671	        60	        58	       116	        86	       195	        20	        21	        47	        51	       228
    49		       136	       161	       417	       412	      1684	        36	        22	        68	        67	       178	        19	        24	        43	        53	       259
